prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
4866.666666666667;2.232262;48.911353;92025000CF;92025000CF0225;1481;0;T3;2.0453601368126;2;0;2;1;0
5365.8536585365855;2.254803;48.923235;92025000AC;92025000AC0408;6870;0;T4;0.08388685890724014;7;1;7;0;0
7142.857142857143;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;0;T1;0.8258827543802728;4;1;2;0;0
5697.674418604651;2.252379;48.916973;92025000AL;92025000AL0172;4442;0;T2;0.6350861020302779;4;0;1;0;0
4738.028169014085;2.264986;48.923024;920250000X;920250000X0267;6125;0;T4;0.7752443175623309;3;1;0;0;0
6210.526315789473;2.23866;48.910519;92025000BC;92025000BC0167;126;0;T2;1.76585198221203;4;1;4;0;1
3705.128205128205;2.238479;48.922782;92025000BM;92025000BM0292;7278;0;T4;1.1697043029568257;3;0;1;0;1
3280.7017543859647;2.258727;48.93356;920250000H;920250000H0230;130;0;T3;1.2673057051645689;5;1;0;0;0
3534.8837209302324;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T2;0.7378413689384381;11;0;2;0;0
5434.782608695652;2.253079;48.920223;92025000AF;92025000AF0176;4442;0;T3;0.2741702298727535;7;0;6;0;0
6208.333333333333;2.24239;48.917732;92025000AV;92025000AV0209;3540;0;T1;1.0309629583125763;6;0;0;0;0
5272.307692307692;2.259411;48.921263;920250000Z;920250000Z0061;6158;0;T1;0.3905673739689544;4;1;5;0;0
6837.931034482759;2.245438;48.926059;92025000BS;92025000BS0078;9970;0;T1;0.7678219866158623;11;0;1;0;0
4412.2807017543855;2.265536;48.928985;920250000R;920250000R0378;6127;0;T3;1.0856070738795647;6;1;1;0;0
4054.054054054054;2.251921;48.921641;92025000AD;92025000AD0118;4442;0;T2;0.20860970660540917;10;0;7;0;0
5258.620689655172;2.250418;48.917911;92025000AL;92025000AL0126;7270;0;T3;0.5911615054472924;6;0;0;0;0
3793.103448275862;2.233332;48.909801;92025000CG;92025000CG0013;6114;0;T3;2.0960238484241263;7;1;3;0;0
5372.684666666667;2.271349;48.927369;920250000P;920250000P0208;3153;1;T3;1.3516706481279912;8;0;1;1;0
5452.380952380952;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
5085.973333333333;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T3;0.9818664230392968;9;0;1;0;1
5847.826086956522;2.259659;48.924277;920250000T;920250000T0106;6215;0;T1;0.42977345437785175;3;1;6;0;0
5870.967741935484;2.237791;48.909845;92025000BC;92025000BC0074;7212;0;T3;1.8642140110441865;6;1;4;0;1
6022.727272727273;2.264843;48.923143;920250000X;920250000X0217;6125;0;T2;0.7658736458812001;3;1;0;0;0
7142.64705882353;2.253839;48.914983;92025000AJ;92025000AJ0266;3545;0;T2;0.8393914967532915;3;1;2;0;0
3942.6118391324;2.242915;48.925927;92025000BR;92025000BR0290;3200;0;T5;0.9253166348831384;10;0;1;0;0
5248.990578734859;2.259659;48.924277;920250000T;920250000T0106;6215;0;T2;0.42977345437785175;3;1;6;0;0
5426.229508196721;2.255366;48.929762;920250000G;920250000G0224;9614;1;T3;0.8081768450821467;3;1;0;0;0
5714.285714285715;2.253095;48.924618;920250000E;920250000E0196;9614;1;T4;0.253069637941138;6;1;7;0;0
4050.678087080657;2.2486;48.915932;92025000AP;92025000AP0418;9620;0;T3;0.8483885851726065;6;0;0;0;0
4948.216340621404;2.253261;48.916964;92025000AG;92025000AG0299;4442;0;T2;0.6239128577115864;4;0;1;0;0
4012.345679012346;2.25553;48.922533;92025000AB;92025000AB0331;765;0;T3;0.08025163923293602;7;1;7;0;0
6753.623188405797;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1;T4;0.8593958618720562;3;1;1;0;0
6837.141820819732;2.238333;48.910359;92025000BC;92025000BC0097;3670;0;T1;1.7950064561139085;5;1;4;0;1
4840.8378690417285;2.24232;48.922585;92025000BK;92025000BK0237;7278;0;T3;0.8878860316329318;6;0;1;0;0
4332.188981526892;2.25553;48.922533;92025000AB;92025000AB0331;765;0;T3;0.08025163923293602;7;1;7;0;0
4875.525379890074;2.268964;48.928466;920250000Q;920250000Q0394;8567;0;T3;1.2532785766241272;6;0;2;1;0
4985.664224275247;2.252133;48.920423;92025000AM;92025000AM0085;4442;0;T2;0.2878966363939245;6;0;6;0;0
5006.622516556291;2.267688;48.924792;920250000V;920250000V0187;1604;0;T2;1.0035278180019327;4;0;1;0;0
2991.183879093199;2.267088;48.933211;920250000L;920250000L0310;4876;0;T3;1.5076514177674092;6;0;1;0;0
5707.189737470167;2.236011;48.912683;92025000AZ;92025000AZ0066;1634;0;T2;1.737913515308311;2;1;3;1;0
6583.278472679394;2.249055;48.924529;92025000BJ;92025000BJ0026;8825;0;T2;0.4531362687497916;10;0;3;0;0
2995.9896201934416;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T2;0.7378413689384381;11;0;2;0;0
6176.051318602994;2.257986;48.914937;92025000AI;92025000AI0019;9611;0;T3;0.8826103212452867;4;1;2;0;0
3904.7619047619046;2.232656;48.922969;92025000BX;92025000BX0218;1572;1;T2;1.596857489162965;5;0;1;0;1
5659.090909090909;2.255366;48.929762;920250000G;920250000G0224;9614;1;T2;0.8081768450821467;3;1;0;0;0
2993.143459915612;2.260147;48.933013;920250000H;920250000H0298;159;0;T4;1.2396300362462165;5;1;0;0;0
4251.700680272108;2.254992;48.921233;92025000AE;92025000AE0242;3195;0;T3;0.14890519428710605;7;1;7;0;0
4356.330014224751;2.247647;48.917837;92025000AP;92025000AP0245;780;0;T3;0.7202764503677106;7;0;0;0;0
4576.791300461791;2.233117;48.921747;92025000BO;92025000BO0642;7278;0;T4;1.5646812878628749;5;0;1;0;1
6037.037037037037;2.251743;48.920956;92025000AD;92025000AD0052;750;0;T1;0.2630658188063918;8;0;6;0;0
5074.074074074074;2.256143;48.933553;920250000H;920250000H0481;3576;1;T4;1.233250344750608;3;1;0;0;0
6503.195652173913;2.255366;48.929762;920250000G;920250000G0224;46;1;T3;0.8081768450821467;3;1;0;0;0
5407.2307692307695;2.257416;48.914119;92025000AJ;92025000AJ0150;9611;0;T4;0.9595403407641889;6;1;3;0;0
4523.2558139534885;2.257076;48.93355;920250000H;920250000H0476;3576;1;T5;1.2417223626344807;3;1;0;0;0
4230.414746543779;2.23829;48.92626;92025000BX;92025000BX0207;4628;0;T4;1.2541032830490058;6;0;1;0;1
5428.964673497477;2.253965;48.914015;92025000AJ;92025000AJ0294;4442;0;T4;0.9465304841103703;3;1;3;0;0
5591.586327782647;2.267261;48.923457;920250000V;920250000V0146;9145;0;T3;0.945689888848471;6;0;1;0;0
4924.415941365094;2.268964;48.928466;920250000Q;920250000Q0394;8567;0;T2;1.2532785766241272;6;0;2;1;0
5688.888888888889;2.255366;48.929762;920250000G;920250000G0224;9614;1;T3;0.8081768450821467;3;1;0;0;0
7469.166666666667;2.231823;48.91578;92025000BF;92025000BF0056;4115;1;T2;1.818898060255817;5;0;2;1;0
6200.207828195358;2.238479;48.91359;92025000AY;92025000AY0142;6265;0;T3;1.5342733194153124;5;1;1;0;0
2886.634009797061;2.226255;48.917958;92025000BQ;92025000BQ0293;1666;0;T3;2.1266973748054614;3;0;2;0;0
4447.872477182157;2.260521;48.923527;920250000X;920250000X0180;9653;0;T4;0.45982760852771565;3;1;5;0;0
4569.2307692307695;2.255366;48.929762;920250000G;920250000G0224;9614;1;T4;0.8081768450821467;3;1;0;0;0
5944.152612662428;2.266863;48.926011;920250000Q;920250000Q0052;3110;0;T2;0.990012927234695;3;0;0;0;0
4491.381403253217;2.247144;48.924855;92025000BJ;92025000BJ0045;3113;0;T2;0.594040301557704;10;0;3;0;0
5873.75803623612;2.243251;48.917321;92025000AU;92025000AU0318;3170;0;T4;1.0031121633534743;8;0;0;0;0
3588.882101405009;2.260147;48.933013;920250000H;920250000H0298;159;0;T4;1.2396300362462165;5;1;0;0;0
6148.18;2.232656;48.922969;92025000BX;92025000BX0218;1572;1;T2;1.596857489162965;5;0;1;0;1
4966.463414634146;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
3697.429906542056;2.225002;48.916161;92025000BZ;92025000BZ0027;1530;1;T6+;2.2701303692125605;1;0;3;1;2
4433.406916850626;2.241788;48.919786;92025000BH;92025000BH0307;4115;0;T3;0.9754892130102454;3;0;0;0;0
6443.6686766106;2.260664;48.923117;920250000X;920250000X0175;4480;0;T3;0.46127514846471973;5;1;5;0;0
4599.211563731932;2.253426;48.928191;920250000D;920250000D0068;7220;0;T3;0.634905466537199;7;0;1;0;0
4450.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;1;T4;1.818898060255817;5;0;2;1;0
6435.002813731007;2.255139;48.917996;92025000AF;92025000AF0125;7170;0;T2;0.5058212596413881;4;0;1;0;0
5012.8125;2.25553;48.922533;92025000AB;92025000AB0331;4462;0;T3;0.08025163923293602;7;1;7;0;0
4244.452945677123;2.25553;48.922533;92025000AB;92025000AB0331;4462;0;T4;0.08025163923293602;7;1;7;0;0
4842.993282299641;2.231901;48.915059;92025000BE;92025000BE0386;2573;0;T3;1.8482841080777244;4;0;2;1;0
5873.214285714285;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
4027.360988526037;2.235735;48.919656;92025000BN;92025000BN0226;6295;0;T3;1.4070209616426264;7;0;1;0;0
4577.777777777777;2.252068;48.928295;920250000D;920250000D0086;145;1;T3;0.66516633092778;8;0;0;0;0
4944.642857142857;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T4;0.9818664230392968;9;0;1;0;1
4905.75;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T4;0.9818664230392968;9;0;1;0;1
4894.127047542948;2.266021;48.922241;920250000V;920250000V0305;4480;0;T3;0.849647192456604;4;0;1;0;0
4677.932892481019;2.265332;48.929755;920250000J;920250000J0087;6127;0;T2;1.1335271851192839;7;1;1;0;0
3902.298019945079;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T4;0.7378413689384381;11;0;2;0;0
2667.006349206349;2.235033;48.91047;92025000BC;92025000BC0001;1634;0;T3;1.9540249062973334;7;1;3;0;0
3890.6985161056814;2.231067;48.918045;92025000BG;92025000BG0006;666;0;T3;1.7834748895849748;5;0;3;1;0
3690.337601862631;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T2;0.7378413689384381;11;0;2;0;0
5815.831987075929;2.251884;48.92068;92025000AM;92025000AM0201;750;0;T1;0.27723102203852623;6;0;6;0;0
4405.177777777778;2.252587;48.932724;920250000B;920250000B0252;10;1;T5;1.1427448468794288;3;0;0;0;0
6217.507376703667;2.237885;48.914655;92025000AY;92025000AY0259;4270;0;T4;1.4954785554336596;5;0;0;0;0
4711.929749411009;2.263199;48.924723;920250000U;920250000U0191;22;0;T3;0.6873632381438076;3;1;3;0;0
4809.141135107986;2.252097;48.922658;92025000AC;92025000AC0330;4172;0;T4;0.17202690912268884;10;0;7;0;0
4722.222222222223;2.264766;48.928949;920250000R;920250000R0331;6127;0;T3;1.0412416613653541;6;1;1;0;0
3313.348059324708;2.245992;48.921918;92025000BI;92025000BI0093;4115;0;T3;0.6223777595736204;7;0;2;0;0
5495.537811178958;2.24239;48.917732;92025000AV;92025000AV0209;3540;0;T1;1.0309629583125763;6;0;0;0;0
5687.996654119615;2.251922;48.91696;92025000AL;92025000AL0170;4433;0;T1;0.6452412671554583;5;0;1;0;0
5494.505494505494;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;0;T2;0.43977738942605216;10;0;4;0;0
